epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9096,0.99626,2.13454,0.92463,0.82188,0.58371,0.6624,0.43207,1.20762,1.52618,1.00958,0.000663889,0.000663889,0.000663889
2,28.9687,1.01797,1.30631,0.94351,0.72819,0.49829,0.58005,0.39685,1.21185,1.39165,1.0472,0.00130421,0.00130421,0.00130421
3,40.5919,1.011,1.04188,0.95469,0.55536,0.3637,0.37047,0.25841,1.40345,3.42835,1.13706,0.00191813,0.00191813,0.00191813
4,52.2784,1.03669,0.88108,0.95104,0.76915,0.48343,0.55393,0.37121,1.25024,1.47268,1.08155,0.0018812,0.0018812,0.0018812
5,63.8292,0.96445,0.81661,0.93783,0.6881,0.49398,0.56137,0.37296,1.17927,1.26096,1.1087,0.0018416,0.0018416,0.0018416
6,75.5915,0.95253,0.73411,0.93376,0.81351,0.60467,0.68489,0.49034,1.05191,1.00806,1.02507,0.001802,0.001802,0.001802
7,87.4288,0.90931,0.72281,0.92154,0.82201,0.61747,0.69591,0.49242,1.05725,0.98951,1.0619,0.0017624,0.0017624,0.0017624
8,98.8951,0.87528,0.65412,0.90706,0.75717,0.43449,0.49688,0.35058,1.13802,1.49834,1.07087,0.0017228,0.0017228,0.0017228
9,110.299,0.85367,0.62518,0.90822,0.78539,0.49774,0.57387,0.41192,1.03797,1.41549,1.01764,0.0016832,0.0016832,0.0016832
10,121.857,0.83258,0.60972,0.90642,0.80548,0.60467,0.68992,0.51532,0.98861,0.92603,1.01309,0.0016436,0.0016436,0.0016436
11,133.74,0.8187,0.58642,0.89448,0.84826,0.58092,0.65762,0.48458,0.98063,1.08886,0.99105,0.001604,0.001604,0.001604
12,145.328,0.78986,0.57566,0.89027,0.79452,0.5881,0.65946,0.49983,0.94695,1.04057,0.98201,0.0015644,0.0015644,0.0015644
13,156.916,0.81269,0.57468,0.89231,0.80877,0.57756,0.65585,0.48734,0.99913,1.0269,1.01211,0.0015248,0.0015248,0.0015248
14,168.347,0.79106,0.56162,0.89226,0.80505,0.58772,0.65879,0.49314,0.98028,1.12953,1.00968,0.0014852,0.0014852,0.0014852
15,179.889,0.79605,0.56365,0.89129,0.70574,0.59958,0.63973,0.47899,0.9769,1.13622,1.0107,0.0014456,0.0014456,0.0014456
16,191.38,0.7593,0.5409,0.87909,0.78917,0.5512,0.63721,0.47685,0.95265,1.05558,0.98876,0.001406,0.001406,0.001406
17,202.868,0.77474,0.52791,0.87609,0.82637,0.60208,0.69783,0.52964,0.93086,0.89854,0.99805,0.0013664,0.0013664,0.0013664
18,214.397,0.74668,0.52037,0.8712,0.80543,0.58735,0.68055,0.50593,0.93265,0.99181,0.9867,0.0013268,0.0013268,0.0013268
19,225.915,0.74971,0.52578,0.87664,0.81295,0.60994,0.69893,0.53206,0.89755,0.9113,0.97577,0.0012872,0.0012872,0.0012872
20,241.695,0.7425,0.51596,0.8733,0.80185,0.64905,0.73216,0.56832,0.89518,0.86101,0.96849,0.0012476,0.0012476,0.0012476
21,263.725,0.71867,0.48666,0.86945,0.80901,0.60542,0.66376,0.5067,0.89161,0.99901,0.97316,0.001208,0.001208,0.001208
22,285.917,0.70863,0.477,0.86544,0.8388,0.69051,0.77371,0.60086,0.86484,0.74286,0.94837,0.0011684,0.0011684,0.0011684
23,308.077,0.70234,0.46649,0.86395,0.80203,0.52485,0.61066,0.45187,0.94736,1.36463,0.98496,0.0011288,0.0011288,0.0011288
24,330.315,0.72449,0.47214,0.86295,0.87364,0.66639,0.76342,0.58608,0.86207,0.8478,0.97271,0.0010892,0.0010892,0.0010892
25,348.963,0.70814,0.46711,0.86838,0.81269,0.53464,0.60736,0.45469,0.94452,1.20528,0.9913,0.0010496,0.0010496,0.0010496
26,360.61,0.68924,0.4609,0.86421,0.77135,0.64271,0.71001,0.54272,0.87542,0.91817,0.9629,0.00101,0.00101,0.00101
27,372.563,0.68586,0.44889,0.86292,0.82294,0.71395,0.77794,0.60444,0.83782,0.72105,0.95245,0.0009704,0.0009704,0.0009704
28,384.219,0.69924,0.45848,0.86275,0.81635,0.56024,0.66448,0.50501,0.89403,1.21434,0.9872,0.0009308,0.0009308,0.0009308
29,395.793,0.68075,0.43793,0.85617,0.86168,0.60513,0.70284,0.54678,0.8522,0.96366,0.95898,0.0008912,0.0008912,0.0008912
30,407.333,0.65236,0.43231,0.85357,0.85106,0.60843,0.70023,0.5394,0.85881,0.98246,0.96292,0.0008516,0.0008516,0.0008516
31,418.906,0.67341,0.43572,0.85033,0.84065,0.63163,0.72433,0.56068,0.83754,0.93004,0.95321,0.000812,0.000812,0.000812
32,430.474,0.6583,0.42021,0.85078,0.84191,0.65663,0.73734,0.57091,0.84714,0.83691,0.96211,0.0007724,0.0007724,0.0007724
33,442.069,0.6395,0.41465,0.84621,0.91092,0.66218,0.76969,0.60576,0.80503,0.79556,0.95428,0.0007328,0.0007328,0.0007328
34,453.68,0.65201,0.41399,0.84578,0.85267,0.61145,0.71741,0.56423,0.83449,1.03195,0.96324,0.0006932,0.0006932,0.0006932
35,465.238,0.64045,0.40677,0.85001,0.88225,0.68268,0.79046,0.62886,0.8032,0.75904,0.9458,0.0006536,0.0006536,0.0006536
36,476.858,0.61143,0.38954,0.84442,0.85185,0.6619,0.75651,0.59437,0.83521,0.83499,0.95444,0.000614,0.000614,0.000614
37,488.404,0.62471,0.39033,0.84044,0.87687,0.63178,0.73893,0.57944,0.82021,0.94844,0.94682,0.0005744,0.0005744,0.0005744
38,499.924,0.6091,0.38411,0.84111,0.87816,0.66491,0.76983,0.61335,0.79483,0.82723,0.94786,0.0005348,0.0005348,0.0005348
39,511.523,0.61967,0.38181,0.83366,0.88707,0.64608,0.72975,0.58561,0.78841,0.85741,0.94321,0.0004952,0.0004952,0.0004952
40,523.121,0.61598,0.38252,0.83876,0.88202,0.6868,0.77086,0.61259,0.80711,0.81152,0.9508,0.0004556,0.0004556,0.0004556
41,552.189,0.60525,0.35916,0.80795,0.87394,0.67922,0.76154,0.59784,0.82314,0.81226,0.94661,0.000416,0.000416,0.000416
42,563.814,0.59068,0.34809,0.81562,0.85977,0.66481,0.75738,0.60098,0.81906,0.84056,0.94609,0.0003764,0.0003764,0.0003764
43,575.399,0.60456,0.35053,0.80119,0.8594,0.64898,0.74448,0.59222,0.79501,0.87451,0.94464,0.0003368,0.0003368,0.0003368
44,586.975,0.60061,0.34589,0.80967,0.87821,0.63479,0.74044,0.58902,0.801,0.94278,0.94242,0.0002972,0.0002972,0.0002972
45,598.596,0.58973,0.34161,0.8045,0.88036,0.68152,0.77573,0.61708,0.80896,0.84004,0.94662,0.0002576,0.0002576,0.0002576
46,610.224,0.60565,0.34131,0.81443,0.86984,0.6875,0.78377,0.62179,0.78668,0.80353,0.94339,0.000218,0.000218,0.000218
47,621.937,0.55906,0.32547,0.80728,0.88163,0.67301,0.77608,0.62521,0.773,0.82871,0.93883,0.0001784,0.0001784,0.0001784
48,633.557,0.55918,0.31384,0.80405,0.87692,0.66943,0.76961,0.61883,0.76699,0.85044,0.939,0.0001388,0.0001388,0.0001388
49,645.214,0.55364,0.31457,0.80234,0.88066,0.67792,0.77518,0.62389,0.76534,0.8284,0.94078,9.92e-05,9.92e-05,9.92e-05
50,656.836,0.55832,0.31229,0.80355,0.87516,0.67567,0.77715,0.62861,0.76409,0.83305,0.93979,5.96e-05,5.96e-05,5.96e-05
